name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
AFFILIATED CLINICAL SERVICES - WEST BEND,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",111 E WASHINGTON ST,"WEST BEND, WI 53095",262-338-2717,"Most private insurance, no public insurance plans",1,RAJESH KUMAR
ALAY HEALTH TEAM - HOMETOWN PHARMACY – KEWASKUM,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",901 Fond du Lac Avenue,"Kewaskum, WI 53040",262-260-9000,Most private insurance and public insurance plans,0,NA
INFUSION ASSOCIATES – GRANDVILLE,Injection Provider,Outpatient Facility,,4343 Chicago Dr SW,"Grandville, MI 49418",616-954-0600,Most private insurance and public insurance plans,1,KHAN NEDD
"John N. Campbell, MD Office",,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1676 Viewpond South East,"Kentwood, MI 49508",616-455-9450,,1,JOHN CAMPBELL
PSYCHIATRIC PHYSICIANS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,Opioid Dependence,4461 GRAND HAVEN RD,"MUSKEGON, MI 49441",231-798-8337,"Limited health network, please contact office to learn more",1,JAMES WIADUCK
MERCY HEALTH INFUSION SERVICES AT CATHEDRAL SQUARE,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","360 Division Ave S, Suite 1D","Grand Rapids, MI 49503",616-865-1111,"Limited health network, please contact office to learn more",1,KEVIN FURMAGA
CHERRY HEALTH-HEART OF THE CITY HEALTH CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","100 Cherry St, SE","Grand Rapids, MI 49503",616-965-8308,Most private insurance and public insurance plans,2,"VINCE HOGAN,THOMAS PLATT"
SANFORD HOUSE AT CHERRY STREET,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",540 Cherry St. SE,"Grand Rapids, MI 49503",616-288-6970,"Limited health network, please contact office to learn more",1,AMY BUKALA
SANFORD OUTPATIENT CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",233 East Fulton St. Suite 101,"Grand Rapids, MI 49503",616-425-5523,"Limited health network, please contact office to learn more",1,AMY BUKALA
SANFORD HOUSE AT JOHN STREET,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",221 John St NE,"Grand Rapids, MI 49503",616-288-6970,"Limited health network, please contact office to learn more",1,AMY BUKALA
INFUSION ASSOCIATES – GRAND RAPIDS,Injection Provider,Outpatient Facility,Alcohol Dependence,"3230 Eagle Park Drive Northeast, Suite 101","Grand Rapids, MI 49525",616-954-0600,Most private insurance and public insurance plans,1,KHAN NEDD
The Salvation Army Turning Point,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",1215 East Fulton Street,"Grand Rapids, MI 49503",616-742-0351,Most private insurance and public insurance plans,1,JOHN CAMPBELL
Northside Family Practice,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2006 Holton Rd,"North Muskegon, MI 49445",231-672-4395,Most private insurance and public insurance plans,1,BEN NEWBERRY
CURRY FAMILY MEDICINE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","5258 Plainfield Ave, Ste 6","Grand Rapids, MI 49525",616-729-0260,Most private insurance and public insurance plans,1,AMY CURRY
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"WREN, OH 45899",614-604-8231,,0,NA
ARBOR CIRCLE-NEWAYGO,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","222 E. 82nd, Suite 102","Newaygo, MI 49337",231-652-1780,"Limited health network, please contact office to learn more",1,AARON GREENE
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"HILLSDALE, PA 15746",412-660-7064,,0,NA
SHERIDAN COMMUNITY HOSPITAL,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",211 N Shiawassee St,"CORUNNA, MI 48817",989-928-3566,Most private insurance and public insurance plans,1,WILLIAM MORRONE
EAST MICHIGAN MEDICAL ASSOCIATES,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3499 South Linden Road Suite 2,"Flint, MI 48507",810-820-8121,Most private insurance and public insurance plans,1,Donald Hardman
SAMARITAN HEALTH CARE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",811 E. Kent Rd,"Greenville, MI 48838",616-225-0202,Most private insurance and public insurance plans,1,MARK CLARK
"PAUL MUSSON, MD OFFICE","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","G3500 Flushing Road, Suite 300","Flint, MI 48504",810-733-6980,Most private insurance and public insurance plans,1,PAUL MUSSON
GENESEE COMMUNITY HEALTH CENTER - ATHERTON EAST,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3109 KLEINPELL STREET,"FLINT, MI 48507",810-422-5834,Most private insurance and public insurance plans,1,MARIA DONNELLY
ODYSSEY HOUSE - Flint,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",529 Martin Luther King Avenue,"Flint, MI 48503",810-238-0483 ext 324,Most private insurance and public insurance plans,1,NEVA JOHNSON
HAMILTON COMMUNITY HEALTH NETWORK - Flint,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","812 Root Street, 2nd Floor","Flint, MI 48502",810-406-4246,Most private insurance and public insurance plans,1,LYNDA MCDONALD
HAMILTON COMMUNITY HEALTH NETWORK - Lapeer,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1570 Suncrest Dr,"Lapeer, MI 48446",810-406-4246,Most private insurance and public insurance plans,0,NA
OFFICE OF JAMES CARTHRON MD,"Prescriber, Injection Provider, Counseling",Outpatient Facility,,2110 N Morson St,"Saginaw, MI 48602",989-401-7225,"Limited health network, please contact office to learn more",1,JAMES CARTHRON
Saginaw Valley Walk In Clinic,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3020 Boardwalk Dr.,"Saginaw, MI 48603",989-791-3888,Most private insurance and public insurance plans,1,THERESA JENSEN
ST. CLAIR COUNTY COMMUNITY MENTAL HEALTH - TOWNSHIP OF MUSSEY,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",14675 Downey Rd.,"Capac, MI 48014",810-395-4343,Most private insurance and public insurance plans,1,SARAH INGLES
ISABELLA CITIZENS FOR HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2940 Health Parkway,"Mount Pleasant, MI 48858",989-953-5320,Most private insurance and public insurance plans,3,"JODI DRENTH,LACEY GARDNER,MICHAEL MCCONNON"
Recovery Pathways – Mt.Pleasant,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",301 South Crapo Suite 200,"Mount Pleasant, MI 48858",989-928-3566,Most private insurance and public insurance plans,1,WILLIAM MORRONE
NEWAYGO COUNTY COMMUNITY MENTAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1049 East Newell Street,"White Cloud, MI 49349",231-689-7330,"Most public insurance, no private insurance plans",2,"AARON GREENE,ROBERT GUNNELL"
Recovery Pathways – Midland,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",218 Fast Ice Drive,"Midland, MI 48642",989-928-3566,Most private insurance and public insurance plans,1,WILLIAM MORRONE
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"WATERVILLE, OH 43566",614-604-8231,,0,NA
ST. CLAIR COUNTY COMMUNITY MENTAL HEALTH - Port Huron,"Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3111 Electric Avenue,"Port Huron, MI 48060",810-985-8900,"Limited health network, please contact office to learn more",1,MOHAMMAD SAEED
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"GATES MILLS, OH 44040",614-604-8231,,0,NA
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"ATLANTIC, PA 16111",412-660-7064,,0,NA
EVERGREEN HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",206 South Elmwood Ave,"Buffalo, NY 14201",716-847-0315,Most private insurance and public insurance plans,1,KYLE SWITZER
ECMC DOWNTOWN CLINIC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1285 MAIN ST,"BUFFALO, NY 14209",716-898-4930,Most private insurance and public insurance plans,1,MARK FISHER
ECMC - Buffalo,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5087 Broadway,"Buffalo, NY 14043",716-898-4930,,1,MARK FISHER
ATTICA FAMILY CARE CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",107 Prospect Street,"Attica, NY 14011",585-591-6000,Most private insurance and public insurance plans,1,NITIN ARORA
Acacia Family Health,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",15 Elizabeth Drive,"Lockport, NY 14094",716-514-9355,Most private insurance and public insurance plans,1,MICHAEL OSTOLSKI
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"CORSICA, PA 15829",412-660-7064,,0,NA
EXTENDED MEDICAL SERVICES PLLC - HENRIETTA,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2116 E Henrietta Rd,"Rochester, NY 14623",585-486-4989,"Limited health network, please contact office to learn more",1,SUNEEL KOUL
FLACRA - FARMINGTON,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1386 HATHAWAY DR,"FARMINGTON, NY 14425",585-396-4190,Most private insurance and public insurance plans,1,MICHAEL SUSCO
WESTFALL ASSOCIATES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","919 WESTFALL RD, Building B, Suite 60","ROCHESTER, NY 14618",585-473-1500,"Limited health network, please contact office to learn more",1,GARY HORWITZ
DELPHI RISE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",835 West Main Street,"Rochester, NY 14611",585-467-2230,Most private insurance and public insurance plans,2,"Laura Baker,JADE MALCHO"
CONIFER PARK COUNSELING SERVICES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",556 CLINTON AVE S,"ROCHESTER, NY 14620",585-442-8422,Most private insurance and public insurance plans,3,"KATHLEEN WHALEY,ELID CHRISTIDIS,CHRISTOPHER DAVIS"
CLARK OCCUPATIONAL MEDICINE SERVICES,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1040 University Avenue, Bldg 1 First Floor","Rochester, NY 14607",585-227-0072,Most private insurance and public insurance plans,1,LINDA CLARK
BLOSSOM ROAD MEDICAL,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",780 Blossom Rd,"Rochester, NY 14610",585-482-1141,Most private insurance and public insurance plans,1,SANDRA BOEHLERT
CENTER FOR ADOLESCENT & YOUNG ADULT HEALTH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1081 Long Pond Road, Suite 240","Rochester, NY 14626",585-225-2600,Most private insurance and public insurance plans,1,JEFFREY ALBERTS
EXTENDED MEDICAL SERVICES PLLC - PARMA,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1024 Hilton Parma Corners Rd,"Hilton, NY 14468",585-392-4114,"Limited health network, please contact office to learn more",1,SUNEEL KOUL
FLACRA - CLIFTON SPRINGS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",28 E MAIN ST,"CLIFTON SPRINGS, NY 14432",315-462-9161,Most private insurance and public insurance plans,1,DAVID ROEMER
FLACRA - GENEVA,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",246 CASTLE ST,"GENEVA, NY 14456",315-781-0771,Most private insurance and public insurance plans,0,NA
FLACRA - NEWARK (W UNION ST),"Prescriber, Injection Provider, Counseling",,"Alcohol Dependence, Opioid Dependence",310 W UNION ST,"NEWARK, NY 14513",315-331-3862,Most private insurance and public insurance plans,0,NA
Wayne Behavioral Health Network,Counseling,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1519 NYE RD,"LYONS, NY 14489",315-946-5722,"Limited health network, please contact office to learn more",3,"MORRIS OWEN,CHARLES MORGAN,DONNA FLADD"
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"LOCK HAVEN, PA 17745",412-660-7064,,0,NA
EAST HILL MEDICAL CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",144 Genesee St,"Auburn, NY 13021",315-253-8477,Most private insurance and public insurance plans,1,ADAM DUCKETT
"ANDREW CATALONE, NP OFFICE - AUBURN","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",119 North Street,"Auburn, NY 13021",315-252-5014,Most private insurance and public insurance plans,1,ANDREW CATALONE
HELIO HEALTH-CNY SERVICES DUAL RECOVERY PROGRAM,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",321 West Onondaga Street,"Syracuse, NY 13202",315-478-0601,Most private insurance and public insurance plans,1,MATTHEW MARKO
SYRACUSE RECOVERY SERVICES – SYRACUSE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",319 E WATER ST,"SYRACUSE, NY 13202",315-475-1771,Most private insurance and public insurance plans,1,DOROTHY LENNON
HELIO HEALTH AT THE WILLOWS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",847 James St,"Syracuse, NY 13203",315-492-1184,Most private insurance and public insurance plans,1,MATTHEW MARKO
MYCARE FAMILY PRACTICE,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,,"1304 Buckley Road, Suite 302","Syracuse, NY 13212",315-671-5790,Most private insurance and public insurance plans,3,"LAURA MARTIN,HOLLY FIKE,VINCENT GEMELLI"
"ANDREW CATALONE, NP OFFICE - FULTON","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",312 DIVISION ST,"FULTON, NY 13069",315-887-1636,Most private insurance and public insurance plans,1,ANDREW CATALONE
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"PICTURE ROCKS, PA 17762",412-660-7064,,0,NA
FAMILY COUNSELING SERVICES OF CORTLAND COUNTY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",201 Cedar Street,"Oneida, NY 13421",315-280-0400,Most private insurance and public insurance plans,2,"DEANNA RAYMOND,KEITH HARDEN"
THE FALCON CLINIC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",1 Oxford Crossing Suite 1,"New Hartford, NY 13413",315-507-4751,Most private insurance and public insurance plans,3,"MICHAEL REDNER,GEORGE KOZMINSKI,RICHARD CHMIELEWSKI"
CNY SERVICES MILESTONES,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","502 Court Street, Suite 210","Utica, NY 13502",315-507-5800,Most private insurance and public insurance plans,2,"BETSY LOUGHLIN,SHEILA SKURPSKI"
"MARVIN RABINOWITZ, MD OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",239 South Main Street,"Herkimer, NY 13350",315-866-0538,Most private insurance and public insurance plans,1,MARVIN RABINOWITZ
ConnextCare/ Dr Amanda Ray,Injection Provider,Outpatient Facility,,61 Delano St,"Pulaski, NY 13142",315-298-6564,Most private insurance and public insurance plans,1,AMANDA RAY
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"UNITYVILLE, PA 17774",412-660-7064,,0,NA
SAVIDA HEALTH – BENNINGTON VT,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",665 Main St,"Bennington, VT 05201",802-448-5105,Most private insurance and public insurance plans,1,DIANA BERGER
CLEANSLATE CENTERS - 6 ARCH STREET,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6 Arch st 3rd floor,"Greenfield, MA 01301",413-376-4343,Most private insurance and public insurance plans,1,SARAH KELLS
